rollout,policy,followup_cost_units,n_efficacy_followups,n_safety_followups,n_advanced,downstream_cost_units,posterior_expected_portfolio_value,realised_portfolio_value,oracle_portfolio_value,oracle_regret,advanced_technical_success_rate,oracle_n_advanced
23,no_followup,0,0,0,6,125,236.42931664484547,327.8641722176252,410.50438882464863,82.64021660702343,0.8333333333333334,6
23,uniform,24,4,4,6,125,236.42931664484547,327.8641722176252,410.50438882464863,82.64021660702343,0.8333333333333334,6
23,uncertainty,24,0,12,6,123,264.42721570601327,234.37864543635476,410.50438882464863,176.12574338829387,0.6666666666666666,6
23,portfolio_voi,24,1,10,6,123,305.8958010950542,234.37864543635476,410.50438882464863,176.12574338829387,0.6666666666666666,6
24,no_followup,0,0,0,6,127,204.74126293968484,223.36260549797515,410.06697618463227,186.70437068665711,0.6666666666666666,6
24,uniform,24,4,4,6,127,256.23100078432077,223.36260549797515,410.06697618463227,186.70437068665711,0.6666666666666666,6
24,uncertainty,24,1,10,6,122,285.4702798754828,315.3956896756621,410.06697618463227,94.67128650897018,0.8333333333333334,6
24,portfolio_voi,24,3,6,6,126,305.51645681931734,317.1175686228433,410.06697618463227,92.94940756178897,0.8333333333333334,6
25,no_followup,0,0,0,6,126,169.07736978972343,311.546133627714,466.4987526885141,154.9526190608001,0.8333333333333334,6
25,uniform,24,4,4,6,126,145.3947151205458,369.82888943290897,466.4987526885141,96.66986325560515,1.0,6
25,uncertainty,24,3,6,6,126,151.97675211690523,236.12646393026182,466.4987526885141,230.3722887582523,0.6666666666666666,6
25,portfolio_voi,24,2,8,6,129,202.1780492091786,329.6700575096837,466.4987526885141,136.8286951788304,0.8333333333333334,6
26,no_followup,0,0,0,6,130,214.82772949918058,255.41409379250115,359.67947731555057,104.26538352304942,0.8333333333333334,6
26,uniform,24,4,4,6,128,211.65681581882149,252.4253611989204,359.67947731555057,107.25411611663017,0.8333333333333334,6
26,uncertainty,24,1,10,6,123,229.37074431731833,262.11357608379524,359.67947731555057,97.56590123175533,0.8333333333333334,6
26,portfolio_voi,24,1,10,6,117,241.4254587882134,322.26641041189305,359.67947731555057,37.41306690365752,1.0,6
27,no_followup,0,0,0,6,121,156.888944970406,117.64833482460567,349.39262128043214,231.74428645582645,0.5,5
27,uniform,24,4,4,6,127,175.5635011426919,209.146134991236,349.39262128043214,140.24648628919613,0.6666666666666666,5
27,uncertainty,24,1,10,6,123,199.30932975701174,119.2503181915757,349.39262128043214,230.14230308885644,0.5,5
27,portfolio_voi,24,2,8,5,121,205.58515687741553,162.96023118696235,349.39262128043214,186.4323900934698,0.6,5
28,no_followup,0,0,0,5,119,124.08189412361814,42.54560233273069,280.50803935595405,237.96243702322337,0.4,5
28,uniform,24,4,4,5,125,140.43473706001183,36.54560233273069,280.50803935595405,243.96243702322337,0.4,5
28,uncertainty,24,0,12,5,125,128.29272814966777,36.54560233273069,280.50803935595405,243.96243702322337,0.4,5
28,portfolio_voi,24,2,8,5,120,145.82764755475577,41.54560233273069,280.50803935595405,238.96243702322337,0.4,5
29,no_followup,0,0,0,6,129,319.4231065689803,178.45193089170263,455.59047686214234,277.13854597043974,0.5,6
29,uniform,24,4,4,5,126,338.70600613459544,185.81164770275234,455.59047686214234,269.77882915939,0.6,6
29,uncertainty,24,0,12,5,125,335.2339678950507,180.0747189391042,455.59047686214234,275.5157579230381,0.6,6
29,portfolio_voi,24,3,6,6,130,364.8756436512922,265.14209025127775,455.59047686214234,190.4483866108646,0.6666666666666666,6
30,no_followup,0,0,0,6,129,202.4099812052459,304.59222744827827,372.67717774350126,68.084950295223,0.8333333333333334,6
30,uniform,24,4,4,6,129,281.54568041135474,304.59222744827827,372.67717774350126,68.084950295223,0.8333333333333334,6
30,uncertainty,24,2,8,6,124,322.2040700183479,293.0215443365237,372.67717774350126,79.65563340697759,0.8333333333333334,6
30,portfolio_voi,24,4,4,6,130,336.19811411755836,304.84544369119106,372.67717774350126,67.8317340523102,0.8333333333333334,6
31,no_followup,0,0,0,6,116,151.05021087504156,182.51338111740398,338.17683105066266,155.66344993325868,0.6666666666666666,6
31,uniform,24,4,4,6,109,153.16236199098844,120.97303593211768,338.17683105066266,217.20379511854497,0.5,6
31,uncertainty,24,0,12,5,120,159.0858129205498,185.5163563695473,338.17683105066266,152.66047468111535,0.8,6
31,portfolio_voi,24,1,10,5,122,182.62611315059576,124.88122889481174,338.17683105066266,213.29560215585093,0.6,6
32,no_followup,0,0,0,5,122,224.09467378724767,234.4642200403402,420.87987156930865,186.41565152896845,0.8,6
32,uniform,24,4,4,5,118,235.01643345758154,317.87541313617726,420.87987156930865,103.00445843313139,1.0,6
32,uncertainty,24,0,12,5,122,262.21806897552773,234.4642200403402,420.87987156930865,186.41565152896845,0.8,6
32,portfolio_voi,24,2,8,6,130,301.6330919320531,298.8916326700846,420.87987156930865,121.98823889922403,0.8333333333333334,6
33,no_followup,0,0,0,6,127,135.15795137236333,218.05529566606702,379.6373647569512,161.58206909088415,0.6666666666666666,6
33,uniform,24,4,4,6,125,139.31608871106687,154.91773879210314,379.6373647569512,224.71962596484803,0.5,6
33,uncertainty,24,0,12,6,130,232.25134326023345,179.19734647231556,379.6373647569512,200.4400182846356,0.5,6
33,portfolio_voi,24,1,10,6,127,219.74823414572714,238.70031798192963,379.6373647569512,140.93704677502154,0.6666666666666666,6
34,no_followup,0,0,0,6,126,194.7207077880975,103.4811928297195,387.2803527975948,283.7991599678753,0.5,6
34,uniform,24,4,4,6,129,238.78880077815865,136.11156870330797,387.2803527975948,251.16878409428682,0.5,6
34,uncertainty,24,0,12,6,127,229.54066993927842,107.96376333687186,387.2803527975948,279.3165894607229,0.5,6
34,portfolio_voi,24,1,10,6,125,281.549223994668,135.46184769258014,387.2803527975948,251.81850510501465,0.5,6
35,no_followup,0,0,0,5,125,131.0330475515055,42.55381135269019,343.92160637629473,301.3677950236046,0.4,5
35,uniform,24,4,4,5,127,144.79606196765508,83.14090689307541,343.92160637629473,260.78069948321934,0.4,5
35,uncertainty,24,0,12,5,126,166.71661218024394,87.60802432734114,343.92160637629473,256.3135820489536,0.6,5
35,portfolio_voi,24,2,8,5,130,174.40967823710776,163.7533579232438,343.92160637629473,180.16824845305092,0.6,5
36,no_followup,0,0,0,6,118,210.0833037433028,200.37280731358146,394.3001185814927,193.92731126791125,0.6666666666666666,6
36,uniform,24,4,4,6,118,206.3984903598281,200.37280731358146,394.3001185814927,193.92731126791125,0.6666666666666666,6
36,uncertainty,24,0,12,6,129,229.67724303303953,189.24308948433543,394.3001185814927,205.05702909715728,0.6666666666666666,6
36,portfolio_voi,24,3,6,6,124,240.15774026837548,290.65607387464115,394.3001185814927,103.64404470685156,0.8333333333333334,6
37,no_followup,0,0,0,6,123,133.83050491951548,210.05935692866254,334.87359624654107,124.81423931787853,0.8333333333333334,6
37,uniform,24,4,4,6,125,156.36162071978504,160.5335490369092,334.87359624654107,174.34004720963188,0.6666666666666666,6
37,uncertainty,24,0,12,6,130,179.7546295691369,70.49931193316101,334.87359624654107,264.37428431338003,0.5,6
37,portfolio_voi,24,1,10,6,121,214.77256304550238,139.8970330430522,334.87359624654107,194.97656320348887,0.6666666666666666,6
38,no_followup,0,0,0,5,124,145.43976734986873,39.72188927624835,243.52783226449668,203.80594298824832,0.4,5
38,uniform,24,4,4,5,124,151.10190980966354,39.72188927624835,243.52783226449668,203.80594298824832,0.4,5
38,uncertainty,24,1,10,5,125,162.5690096233811,38.72188927624835,243.52783226449668,204.80594298824832,0.4,5
38,portfolio_voi,24,2,8,5,125,186.33984277880492,38.72188927624835,243.52783226449668,204.80594298824832,0.4,5
39,no_followup,0,0,0,5,127,174.87307469925892,285.1124465761253,355.4536358856268,70.34118930950149,1.0,6
39,uniform,24,4,4,5,127,179.0294499236288,285.1124465761253,355.4536358856268,70.34118930950149,1.0,6
39,uncertainty,24,1,10,5,125,230.28601116358863,290.2517590029218,355.4536358856268,65.201876882705,1.0,6
39,portfolio_voi,24,3,6,5,114,276.32031576148086,298.4329149836789,355.4536358856268,57.02072090194787,1.0,6
40,no_followup,0,0,0,5,121,259.68151028322677,233.97462947285416,391.70187271532467,157.7272432424705,0.8,6
40,uniform,24,4,4,5,121,261.80003001659554,233.97462947285416,391.70187271532467,157.7272432424705,0.8,6
40,uncertainty,24,1,10,6,123,297.68996427520517,309.39008066625206,391.70187271532467,82.31179204907261,0.8333333333333334,6
40,portfolio_voi,24,3,6,6,122,266.04814977360303,361.1252969267464,391.70187271532467,30.576575788578282,1.0,6
41,no_followup,0,0,0,6,127,246.16302268986908,307.68682765524613,373.1448391024786,65.45801144723248,0.8333333333333334,6
41,uniform,24,4,4,6,127,271.9443166942825,310.0741012936943,373.1448391024786,63.070737808784315,0.8333333333333334,6
41,uncertainty,24,0,12,6,127,285.87797465355595,310.0741012936943,373.1448391024786,63.070737808784315,0.8333333333333334,6
41,portfolio_voi,24,2,8,6,128,258.7058843430956,222.2523970783254,373.1448391024786,150.8924420241532,0.6666666666666666,6
42,no_followup,0,0,0,5,118,141.93666119123512,132.16312288970602,342.2637036838191,210.10058079411306,0.6,5
42,uniform,24,4,4,6,129,212.34342732384098,118.45643548228708,342.2637036838191,223.807268201532,0.5,5
42,uncertainty,24,1,10,6,127,271.4178828232159,137.57807312363678,342.2637036838191,204.6856305601823,0.5,5
42,portfolio_voi,24,2,8,5,125,242.09284507610172,268.7336887661906,342.2637036838191,73.53001491762848,0.8,5
43,no_followup,0,0,0,5,128,243.08249999976132,310.1275988322784,433.886105204043,123.75850637176461,1.0,6
43,uniform,24,4,4,5,128,246.75888725193525,310.1275988322784,433.886105204043,123.75850637176461,1.0,6
43,uncertainty,24,1,10,6,127,295.70051903424644,391.1566329164896,433.886105204043,42.72947228755339,1.0,6
43,portfolio_voi,24,2,8,6,127,324.63041633537557,390.13959011941046,433.886105204043,43.74651508463256,1.0,6
44,no_followup,0,0,0,6,113,133.48402611600406,269.3666843981507,324.49480434015237,55.12811994200166,0.8333333333333334,5
44,uniform,24,4,4,6,106,103.80095092263599,174.45355529110861,324.49480434015237,150.04124904904376,0.6666666666666666,5
44,uncertainty,24,2,8,6,115,184.26081464083228,267.3666843981507,324.49480434015237,57.12811994200166,0.8333333333333334,5
44,portfolio_voi,24,4,4,6,116,186.63838323162486,266.3666843981507,324.49480434015237,58.12811994200166,0.8333333333333334,5
45,no_followup,0,0,0,6,122,301.8860659740674,245.94543694239616,417.5901223340357,171.64468539163954,0.6666666666666666,6
45,uniform,24,4,4,6,122,308.22708373370426,245.94543694239616,417.5901223340357,171.64468539163954,0.6666666666666666,6
45,uncertainty,24,0,12,6,130,331.52410035537923,314.22329541148804,417.5901223340357,103.36682692254766,0.8333333333333334,6
45,portfolio_voi,24,2,8,6,127,315.108576926593,366.40962314660277,417.5901223340357,51.18049918743293,1.0,6
46,no_followup,0,0,0,6,126,145.17255496347948,99.92122874352847,376.99718575168356,277.0759570081551,0.5,5
46,uniform,24,4,4,6,126,149.79297075109523,99.92122874352847,376.99718575168356,277.0759570081551,0.5,5
46,uncertainty,24,0,12,6,120,183.63754816591648,105.92122874352847,376.99718575168356,271.0759570081551,0.5,5
46,portfolio_voi,24,1,10,6,118,273.48201110324555,58.244806735094826,376.99718575168356,318.75237901658875,0.3333333333333333,5
47,no_followup,0,0,0,6,124,289.9772367314816,261.36027987789856,441.23631812929614,179.87603825139757,0.6666666666666666,6
47,uniform,24,4,4,6,124,287.7281299820815,261.36027987789856,441.23631812929614,179.87603825139757,0.6666666666666666,6
47,uncertainty,24,1,10,6,124,314.8267089140775,261.36027987789856,441.23631812929614,179.87603825139757,0.6666666666666666,6
47,portfolio_voi,24,1,10,6,124,396.10640127227396,261.36027987789856,441.23631812929614,179.87603825139757,0.6666666666666666,6
48,no_followup,0,0,0,6,130,156.91041495483674,89.69562257547716,362.21751018756396,272.5218876120868,0.5,6
48,uniform,24,4,4,6,130,174.95390853829807,89.69562257547716,362.21751018756396,272.5218876120868,0.5,6
48,uncertainty,24,0,12,6,129,248.36759964401398,338.8747075184108,362.21751018756396,23.342802669153173,1.0,6
48,portfolio_voi,24,0,12,6,119,273.8197917268579,285.73335175593695,362.21751018756396,76.48415843162701,0.8333333333333334,6
49,no_followup,0,0,0,6,130,196.12473063640263,232.5993289448246,411.20701184787663,178.60768290305202,0.6666666666666666,6
49,uniform,24,4,4,6,130,232.86245062247795,319.3001833930289,411.20701184787663,91.90682845484775,0.8333333333333334,6
49,uncertainty,24,1,10,6,130,254.5360890004067,319.3001833930289,411.20701184787663,91.90682845484775,0.8333333333333334,6
49,portfolio_voi,24,3,6,6,130,273.3674905716698,319.3001833930289,411.20701184787663,91.90682845484775,0.8333333333333334,6
50,no_followup,0,0,0,6,126,203.36658581874735,233.03560437171114,319.66805062797766,86.63244625626652,0.6666666666666666,5
50,uniform,24,4,4,6,126,206.3261209525831,233.03560437171114,319.66805062797766,86.63244625626652,0.6666666666666666,5
50,uncertainty,24,0,12,5,110,264.35450449730433,249.03560437171114,319.66805062797766,70.63244625626652,0.8,5
50,portfolio_voi,24,2,8,5,110,276.6373089420183,249.03560437171114,319.66805062797766,70.63244625626652,0.8,5
51,no_followup,0,0,0,6,125,200.6314515723917,249.28862864253688,417.22603510507776,167.93740646254088,0.6666666666666666,6
51,uniform,24,4,4,6,130,216.3707725409475,318.80709940226257,417.22603510507776,98.41893570281519,0.8333333333333334,6
51,uncertainty,24,1,10,6,125,233.7456340171227,249.28862864253688,417.22603510507776,167.93740646254088,0.6666666666666666,6
51,portfolio_voi,24,3,6,6,125,208.1920109844853,249.28862864253688,417.22603510507776,167.93740646254088,0.6666666666666666,6
52,no_followup,0,0,0,6,129,164.89748608090363,172.47492422367282,374.17986272358934,201.70493849991652,0.5,5
52,uniform,24,4,4,5,120,163.0605680562573,95.37397401815315,374.17986272358934,278.8058887054362,0.4,5
52,uncertainty,24,1,10,5,129,247.16358030667766,324.71802789000725,374.17986272358934,49.46183483358209,1.0,5
52,portfolio_voi,24,4,4,5,122,278.6303569304856,268.95983743021344,374.17986272358934,105.2200252933759,0.8,5
53,no_followup,0,0,0,5,127,176.5216326071157,65.2599826192162,372.2824396223035,307.0224570030873,0.4,6
53,uniform,24,4,4,5,127,177.2562402653466,65.2599826192162,372.2824396223035,307.0224570030873,0.4,6
53,uncertainty,24,0,12,5,121,176.40791165075868,266.5524660549469,372.2824396223035,105.72997356735664,0.8,6
53,portfolio_voi,24,1,10,5,121,210.53879999205213,266.5524660549469,372.2824396223035,105.72997356735664,0.8,6
54,no_followup,0,0,0,6,114,185.6640510129552,51.96809220598537,347.80766598722244,295.83957378123705,0.3333333333333333,6
54,uniform,24,4,4,6,114,194.21975809472897,51.96809220598537,347.80766598722244,295.83957378123705,0.3333333333333333,6
54,uncertainty,24,0,12,5,117,181.44761975378793,48.968092205985386,347.80766598722244,298.83957378123705,0.4,6
54,portfolio_voi,24,0,12,6,127,161.84146807294132,145.94178254318444,347.80766598722244,201.865883444038,0.5,6
55,no_followup,0,0,0,6,130,158.33902730643536,219.38262590940008,405.4678713734441,186.08524546404402,0.6666666666666666,6
55,uniform,24,4,4,6,130,170.93947564910457,219.38262590940008,405.4678713734441,186.08524546404402,0.6666666666666666,6
55,uncertainty,24,1,10,5,124,177.6344260831376,243.76984221835414,405.4678713734441,161.69802915508996,0.8,6
55,portfolio_voi,24,3,6,5,121,254.44518037828914,342.3236026134043,405.4678713734441,63.14426876003978,1.0,6
56,no_followup,0,0,0,6,119,288.09168632733895,356.7776912282451,471.3138276479139,114.53613641966882,0.8333333333333334,6
56,uniform,24,4,4,6,120,298.3711225856702,367.8926923486307,471.3138276479139,103.42113529928321,0.8333333333333334,6
56,uncertainty,24,0,12,6,120,269.08434320648746,373.9452542720435,471.3138276479139,97.36857337587043,0.8333333333333334,6
56,portfolio_voi,24,2,8,6,103,370.1623390318167,381.92683664971634,471.3138276479139,89.38699099819758,0.8333333333333334,6
57,no_followup,0,0,0,5,129,124.55994850024467,-23.00318455381128,309.41653284550677,332.4197173993181,0.2,5
57,uniform,24,4,4,5,127,89.21876305686588,-21.00318455381128,309.41653284550677,330.4197173993181,0.2,5
57,uncertainty,24,1,10,5,127,170.20185234673107,58.73196187771785,309.41653284550677,250.68457096778891,0.4,5
57,portfolio_voi,24,2,8,5,117,236.70183133188095,150.66187930249617,309.41653284550677,158.7546535430106,0.6,5
58,no_followup,0,0,0,5,121,228.87005644884727,204.94772176846075,373.0990654179276,168.15134364946684,0.8,6
58,uniform,24,4,4,5,121,229.23739201104007,204.94772176846075,373.0990654179276,168.15134364946684,0.8,6
58,uncertainty,24,1,10,6,130,241.9668566291982,157.96955940971066,373.0990654179276,215.12950600821694,0.6666666666666666,6
58,portfolio_voi,24,3,6,5,114,243.47325905766462,314.24157689406366,373.0990654179276,58.857488523863935,1.0,6
59,no_followup,0,0,0,5,119,230.14165838875806,361.045604492595,401.3378009813147,40.292196488719696,1.0,6
