policy,n_evaluations,n_true_feasible,unsafe_evaluation_rate,discovered_hypervolume,oracle_hypervolume,hypervolume_ratio,oracle_frontier_recall,n_balanced_high_value_evaluated,best_feasible_efficacy,best_feasible_environmental_burden,rollout
efficacy_only,30,17,0.43333333333333335,0.6401523867981317,0.7782980928015737,0.8225028337071075,0.0,0,1.0,0.05711007173036735,4
constrained_pareto,30,23,0.23333333333333334,0.6853896599186913,0.7782980928015737,0.8806261588687082,0.024390243902439025,0,1.0,0.050041799116970306,4
random,30,24,0.2,0.6425646966960685,0.7782980928015737,0.825602301533443,0.0,1,0.9067224718503475,0.05711007173036735,5
efficacy_only,30,21,0.3,0.6353603841148028,0.7782980928015737,0.8163458063063599,0.07317073170731707,1,1.0,0.05711007173036735,5
constrained_pareto,30,23,0.23333333333333334,0.7008603060523183,0.7782980928015737,0.9005036920102051,0.024390243902439025,0,1.0,0.033678839818230985,5
random,30,23,0.23333333333333334,0.6213325019419683,0.7782980928015737,0.7983220152903245,0.0,0,0.923747795256729,0.05711007173036735,6
efficacy_only,30,20,0.3333333333333333,0.6370736756140776,0.7782980928015737,0.8185471370241413,0.0,0,1.0,0.05711007173036735,6
constrained_pareto,30,26,0.13333333333333333,0.7125077673827666,0.7782980928015737,0.9154689880043425,0.04878048780487805,1,1.0,0.022567728707119872,6
random,30,22,0.26666666666666666,0.6759004715022516,0.7782980928015737,0.8684339300759044,0.0,0,1.0,0.0447899509293421,7
efficacy_only,30,19,0.36666666666666664,0.6416529631188087,0.7782980928015737,0.8244308563176673,0.0,0,1.0,0.05711007173036735,7
constrained_pareto,30,24,0.2,0.7138217899402539,0.7782980928015737,0.9171573161264858,0.0975609756097561,2,1.0,0.036624911131963846,7
random,30,22,0.26666666666666666,0.6777131992581045,0.7782980928015737,0.8707630219400868,0.0,0,0.9829648885371677,0.05711007173036735,8
efficacy_only,30,21,0.3,0.634344845461943,0.7782980928015737,0.8150409866463191,0.04878048780487805,1,1.0,0.05711007173036735,8
constrained_pareto,30,24,0.2,0.6910606917394057,0.7782980928015737,0.887912611030374,0.024390243902439025,2,1.0,0.036624911131963846,8
random,30,23,0.23333333333333334,0.6442949136186339,0.7782980928015737,0.8278253789617036,0.0,1,0.8978670334951052,0.05711007173036735,9
efficacy_only,30,24,0.2,0.6665554625467041,0.7782980928015737,0.8564269509480112,0.04878048780487805,0,1.0,0.05711007173036735,9
constrained_pareto,30,26,0.13333333333333333,0.7249626490058073,0.7782980928015737,0.9314717017951576,0.0975609756097561,3,1.0,0.05711007173036735,9
random,30,22,0.26666666666666666,0.6784634247553354,0.7782980928015737,0.8717269527323754,0.024390243902439025,0,1.0,0.05711007173036735,10
efficacy_only,30,17,0.43333333333333335,0.6286929188689295,0.7782980928015737,0.807779081927179,0.0,0,1.0,0.05711007173036735,10
constrained_pareto,30,22,0.26666666666666666,0.673142324567297,0.7782980928015737,0.8648901118904757,0.024390243902439025,1,1.0,0.005597354672525881,10
random,30,26,0.13333333333333333,0.6212904445002716,0.7782980928015737,0.7982679775866661,0.0,0,0.8986400535925018,0.0447899509293421,11
efficacy_only,30,21,0.3,0.6353603841148028,0.7782980928015737,0.8163458063063599,0.07317073170731707,1,1.0,0.05711007173036735,11
constrained_pareto,30,26,0.13333333333333333,0.7068220276028573,0.7782980928015737,0.9081636382514698,0.04878048780487805,1,1.0,0.05711007173036735,11
random,30,21,0.3,0.616400157671254,0.7782980928015737,0.791984669334664,0.0,0,0.9051840008365738,0.045818133893305094,12
efficacy_only,30,21,0.3,0.6593731062917326,0.7782980928015737,0.8471986664110188,0.024390243902439025,0,1.0,0.05711007173036735,12
constrained_pareto,30,25,0.16666666666666666,0.6798667731488763,0.7782980928015737,0.8735300515791032,0.0,0,1.0,0.05711007173036735,12
random,30,21,0.3,0.6230683089830397,0.7782980928015737,0.80055227520889,0.0,1,1.0,0.05711007173036735,13
efficacy_only,30,19,0.36666666666666664,0.6475651580339605,0.7782980928015737,0.8320271680262958,0.0,0,1.0,0.05711007173036735,13
constrained_pareto,30,22,0.26666666666666666,0.6971855847036917,0.7782980928015737,0.8957822088373516,0.04878048780487805,1,1.0,0.050041799116970306,13
random,30,20,0.3333333333333333,0.6510105391143685,0.7782980928015737,0.8364539822665902,0.024390243902439025,0,0.9150052099283102,0.05711007173036735,14
efficacy_only,30,22,0.26666666666666666,0.6660079377394377,0.7782980928015737,0.8557234610996737,0.0,0,1.0,0.05711007173036735,14
constrained_pareto,30,25,0.16666666666666666,0.698474035400514,0.7782980928015737,0.8974376808329007,0.024390243902439025,2,1.0,0.05711007173036735,14
random,30,24,0.2,0.6593290167986051,0.7782980928015737,0.8471420178164312,0.024390243902439025,0,0.9141122567447966,0.05711007173036735,15
efficacy_only,30,20,0.3333333333333333,0.6353603841148028,0.7782980928015737,0.8163458063063599,0.07317073170731707,1,1.0,0.05711007173036735,15
constrained_pareto,30,23,0.23333333333333334,0.7013831154559277,0.7782980928015737,0.9011754261548018,0.04878048780487805,1,1.0,0.05711007173036735,15
random,30,24,0.2,0.5650971544889782,0.7782980928015737,0.7260677621023661,0.0,0,0.7891458215705452,0.05711007173036735,16
efficacy_only,30,18,0.4,0.6254036111475958,0.7782980928015737,0.8035527992833483,0.0,1,1.0,0.05711007173036735,16
constrained_pareto,30,21,0.3,0.6927555236713556,0.7782980928015737,0.8900902238854297,0.04878048780487805,2,1.0,0.05711007173036735,16
random,30,22,0.26666666666666666,0.6051436174657316,0.7782980928015737,0.7775216502040335,0.024390243902439025,0,0.8457210617213302,0.05711007173036735,17
efficacy_only,30,19,0.36666666666666664,0.6603958400676326,0.7782980928015737,0.8485127307590613,0.0,1,1.0,0.05711007173036735,17
constrained_pareto,30,25,0.16666666666666666,0.6908081048214251,0.7782980928015737,0.8875880735294901,0.04878048780487805,3,1.0,0.05711007173036735,17
random,30,23,0.23333333333333334,0.665785399441181,0.7782980928015737,0.8554375317105168,0.024390243902439025,1,0.916829865907456,0.05711007173036735,18
efficacy_only,30,23,0.23333333333333334,0.6353603841148028,0.7782980928015737,0.8163458063063599,0.07317073170731707,1,1.0,0.05711007173036735,18
constrained_pareto,30,22,0.26666666666666666,0.682532965796928,0.7782980928015737,0.8769557218623932,0.0,1,1.0,0.05711007173036735,18
random,30,24,0.2,0.6781664505155686,0.7782980928015737,0.8713453839703375,0.04878048780487805,1,0.9610558426359679,0.05711007173036735,19
efficacy_only,30,22,0.26666666666666666,0.6249290398181734,0.7782980928015737,0.8029430440574116,0.04878048780487805,0,1.0,0.05711007173036735,19
constrained_pareto,30,26,0.13333333333333333,0.680396682438573,0.7782980928015737,0.8742109080460505,0.04878048780487805,1,1.0,0.005597354672525881,19
random,30,22,0.26666666666666666,0.6634115574287487,0.7782980928015737,0.8523874895295225,0.024390243902439025,0,1.0,0.036624911131963846,20
efficacy_only,30,18,0.4,0.634574840477682,0.7782980928015737,0.8153364968343385,0.04878048780487805,1,1.0,0.05711007173036735,20
constrained_pareto,30,25,0.16666666666666666,0.7019894304772012,0.7782980928015737,0.9019544528887503,0.04878048780487805,1,1.0,0.03893068800585922,20
random,30,23,0.23333333333333334,0.680441331767846,0.7782980928015737,0.874268275948768,0.0,1,1.0,0.05711007173036735,21
efficacy_only,30,22,0.26666666666666666,0.6353603841148028,0.7782980928015737,0.8163458063063599,0.07317073170731707,1,1.0,0.05711007173036735,21
constrained_pareto,30,24,0.2,0.7298319799580982,0.7782980928015737,0.937728084789446,0.0975609756097561,0,1.0,0.03893068800585922,21
random,30,24,0.2,0.6468498547918692,0.7782980928015737,0.8311081072593388,0.024390243902439025,1,0.8743254768214784,0.050041799116970306,22
efficacy_only,30,24,0.2,0.6716245808793182,0.7782980928015737,0.8629400317065253,0.07317073170731707,1,1.0,0.05711007173036735,22
constrained_pareto,30,24,0.2,0.7169999992579049,0.7782980928015737,0.9212408534588344,0.04878048780487805,1,1.0,0.05711007173036735,22
random,30,23,0.23333333333333334,0.6693184371676507,0.7782980928015737,0.8599769720087093,0.04878048780487805,2,0.9937106044147164,0.05711007173036735,23
efficacy_only,30,17,0.43333333333333335,0.6326226052489962,0.7782980928015737,0.8128281581312864,0.0,0,1.0,0.05711007173036735,23
constrained_pareto,30,25,0.16666666666666666,0.6988178236446488,0.7782980928015737,0.8978793987907301,0.07317073170731707,0,1.0,0.05711007173036735,23
random,30,20,0.3333333333333333,0.6539083236549879,0.7782980928015737,0.8401772144926752,0.0,0,1.0,0.05711007173036735,24
efficacy_only,30,22,0.26666666666666666,0.6321945035025079,0.7782980928015737,0.8122781095696264,0.04878048780487805,1,1.0,0.05711007173036735,24
constrained_pareto,30,26,0.13333333333333333,0.7045465984078697,0.7782980928015737,0.9052400422462465,0.0975609756097561,2,1.0,0.005597354672525881,24
random,30,24,0.2,0.5845991662107499,0.7782980928015737,0.7511250144612559,0.0,0,0.8066749395248,0.05711007173036735,25
efficacy_only,30,24,0.2,0.6249290398181734,0.7782980928015737,0.8029430440574116,0.04878048780487805,0,1.0,0.05711007173036735,25
constrained_pareto,30,26,0.13333333333333333,0.6873184836287966,0.7782980928015737,0.8831044171709511,0.07317073170731707,3,1.0,0.022567728707119872,25
random,30,23,0.23333333333333334,0.6640534987136051,0.7782980928015737,0.8532122908373937,0.024390243902439025,1,0.9301951029716355,0.05711007173036735,26
efficacy_only,30,19,0.36666666666666664,0.634344845461943,0.7782980928015737,0.8150409866463191,0.04878048780487805,1,1.0,0.05711007173036735,26
constrained_pareto,30,23,0.23333333333333334,0.7068951670697097,0.7782980928015737,0.9082576118427311,0.04878048780487805,2,1.0,0.036624911131963846,26
random,30,23,0.23333333333333334,0.6795427453716087,0.7782980928015737,0.8731137229509536,0.024390243902439025,0,0.9866806353338222,0.05711007173036735,27
efficacy_only,30,22,0.26666666666666666,0.6564362633548687,0.7782980928015737,0.8434252498190644,0.0,0,1.0,0.05711007173036735,27
constrained_pareto,30,24,0.2,0.7099086997572432,0.7782980928015737,0.9121295636249667,0.12195121951219512,1,1.0,0.005597354672525881,27
random,30,23,0.23333333333333334,0.6412519906580256,0.7782980928015737,0.8239156649475591,0.0,0,0.9396063092436061,0.05711007173036735,28
efficacy_only,30,21,0.3,0.6353603841148028,0.7782980928015737,0.8163458063063599,0.07317073170731707,1,1.0,0.05711007173036735,28
constrained_pareto,30,21,0.3,0.6834516265290694,0.7782980928015737,0.8781360674660097,0.04878048780487805,1,1.0,0.005597354672525881,28
random,30,22,0.26666666666666666,0.7069579505662611,0.7782980928015737,0.9083382795163797,0.04878048780487805,1,1.0,0.05711007173036735,29
efficacy_only,30,22,0.26666666666666666,0.6353603841148028,0.7782980928015737,0.8163458063063599,0.07317073170731707,1,1.0,0.05711007173036735,29
constrained_pareto,30,24,0.2,0.6974403971164669,0.7782980928015737,0.8961096057757894,0.024390243902439025,2,1.0,0.005597354672525881,29
random,30,23,0.23333333333333334,0.6658455758022762,0.7782980928015737,0.8555148495937955,0.04878048780487805,1,0.9810147686712876,0.016708465783636994,30
efficacy_only,30,21,0.3,0.6716245808793182,0.7782980928015737,0.8629400317065253,0.07317073170731707,1,1.0,0.05711007173036735,30
constrained_pareto,30,25,0.16666666666666666,0.7167259581282974,0.7782980928015737,0.9208887504122742,0.0975609756097561,0,1.0,0.05711007173036735,30
random,30,22,0.26666666666666666,0.6880978149304948,0.7782980928015737,0.8841057446943078,0.0,1,1.0,0.05711007173036735,31
efficacy_only,30,23,0.23333333333333334,0.6716245808793182,0.7782980928015737,0.8629400317065253,0.07317073170731707,1,1.0,0.05711007173036735,31
constrained_pareto,30,24,0.2,0.7311465619994282,0.7782980928015737,0.939417131767061,0.0975609756097561,2,1.0,0.05711007173036735,31
random,30,24,0.2,0.6401642251878837,0.7782980928015737,0.8225180443183907,0.0,0,0.9623085782230545,0.05711007173036735,32
efficacy_only,30,19,0.36666666666666664,0.6384839529043908,0.7782980928015737,0.8203591384967862,0.0,0,1.0,0.05711007173036735,32
constrained_pareto,30,23,0.23333333333333334,0.6904991008503049,0.7782980928015737,0.8871910483100038,0.04878048780487805,2,1.0,0.05711007173036735,32
random,30,24,0.2,0.6126060205874827,0.7782980928015737,0.787109754287508,0.0,1,0.8344667430642043,0.05711007173036735,33
efficacy_only,30,24,0.2,0.6716245808793182,0.7782980928015737,0.8629400317065253,0.07317073170731707,1,1.0,0.05711007173036735,33
constrained_pareto,30,26,0.13333333333333333,0.7261902312412999,0.7782980928015737,0.9330489666591556,0.07317073170731707,2,1.0,0.05711007173036735,33
random,30,19,0.36666666666666664,0.6410185061918242,0.7782980928015737,0.8236156713225445,0.0,0,0.9137870695792039,0.05711007173036735,34
efficacy_only,30,23,0.23333333333333334,0.6353603841148028,0.7782980928015737,0.8163458063063599,0.07317073170731707,1,1.0,0.05711007173036735,34
constrained_pareto,30,25,0.16666666666666666,0.6950672079332986,0.7782980928015737,0.8930604023855745,0.024390243902439025,1,1.0,0.036624911131963846,34
random,30,22,0.26666666666666666,0.6400969714926927,0.7782980928015737,0.822431633088795,0.0,0,0.941695566005122,0.05711007173036735,35
efficacy_only,30,23,0.23333333333333334,0.6353603841148028,0.7782980928015737,0.8163458063063599,0.07317073170731707,1,1.0,0.05711007173036735,35
constrained_pareto,30,24,0.2,0.690135063468238,0.7782980928015737,0.8867233131511569,0.04878048780487805,2,1.0,0.05711007173036735,35
random,30,23,0.23333333333333334,0.685725963861521,0.7782980928015737,0.8810582605864693,0.024390243902439025,0,1.0,0.05711007173036735,36
efficacy_only,30,21,0.3,0.6353603841148028,0.7782980928015737,0.8163458063063599,0.07317073170731707,1,1.0,0.05711007173036735,36
constrained_pareto,30,23,0.23333333333333334,0.6963067594067677,0.7782980928015737,0.8946530459818182,0.04878048780487805,0,1.0,0.05711007173036735,36
random,30,26,0.13333333333333333,0.6616103498951543,0.7782980928015737,0.8500731994776084,0.0,0,1.0,0.05711007173036735,37
efficacy_only,30,19,0.36666666666666664,0.6707922761302743,0.7782980928015737,0.8618706409978215,0.04878048780487805,1,1.0,0.05711007173036735,37
constrained_pareto,30,26,0.13333333333333333,0.721762713502096,0.7782980928015737,0.9273602494694904,0.0975609756097561,1,1.0,0.050041799116970306,37
random,30,23,0.23333333333333334,0.5803787183642656,0.7782980928015737,0.7457023520064472,0.024390243902439025,0,0.781661361051722,0.005597354672525881,38
efficacy_only,30,22,0.26666666666666666,0.6288471588139106,0.7782980928015737,0.8079772578528399,0.024390243902439025,1,1.0,0.05711007173036735,38
constrained_pareto,30,25,0.16666666666666666,0.6990351803701436,0.7782980928015737,0.8981586706115209,0.024390243902439025,1,1.0,0.03893068800585922,38
random,30,18,0.4,0.6230874535994892,0.7782980928015737,0.8005768732602365,0.0,0,0.8781636431132918,0.05711007173036735,39
efficacy_only,30,23,0.23333333333333334,0.6706090422264585,0.7782980928015737,0.8616352120464845,0.04878048780487805,1,1.0,0.05711007173036735,39
constrained_pareto,30,25,0.16666666666666666,0.696890096049085,0.7782980928015737,0.8954025488364603,0.024390243902439025,3,1.0,0.05711007173036735,39
random,30,19,0.36666666666666664,0.649314034135861,0.7782980928015737,0.8342742197897213,0.024390243902439025,0,0.9483598178752588,0.05711007173036735,40
efficacy_only,30,24,0.2,0.6611932365826888,0.7782980928015737,0.849537269457577,0.04878048780487805,0,1.0,0.05711007173036735,40
constrained_pareto,30,26,0.13333333333333333,0.6912405085525126,0.7782980928015737,0.8881436495164889,0.0975609756097561,2,1.0,0.05711007173036735,40
random,30,23,0.23333333333333334,0.6827866241420191,0.7782980928015737,0.8772816359914875,0.024390243902439025,0,1.0,0.05711007173036735,41
efficacy_only,30,23,0.23333333333333334,0.6634138085294621,0.7782980928015737,0.8523903818669626,0.0,1,1.0,0.05711007173036735,41
constrained_pareto,30,23,0.23333333333333334,0.7008659111835004,0.7782980928015737,0.9005108937896182,0.0975609756097561,1,1.0,0.016708465783636994,41
random,30,24,0.2,0.6342750154172716,0.7782980928015737,0.8149512651818606,0.0,0,0.9307202020846805,0.05711007173036735,42
efficacy_only,30,21,0.3,0.6562352227380913,0.7782980928015737,0.8431669418280302,0.0,0,1.0,0.05711007173036735,42
constrained_pareto,30,26,0.13333333333333333,0.7044850259068913,0.7782980928015737,0.90516093052601,0.04878048780487805,1,1.0,0.036624911131963846,42
random,30,26,0.13333333333333333,0.6585744625893767,0.7782980928015737,0.8461725252579793,0.0,2,0.9937106044147164,0.05711007173036735,43
efficacy_only,30,21,0.3,0.6732060510445633,0.7782980928015737,0.8649719911573733,0.07317073170731707,1,1.0,0.05711007173036735,43
constrained_pareto,30,23,0.23333333333333334,0.7029809949471364,0.7782980928015737,0.9032284692060278,0.024390243902439025,2,1.0,0.05711007173036735,43
random,30,21,0.3,0.664402748445023,0.7782980928015737,0.8536610260130906,0.0,0,1.0,0.05711007173036735,44
efficacy_only,30,19,0.36666666666666664,0.637056203922442,0.7782980928015737,0.8185246884381854,0.0,0,1.0,0.05711007173036735,44
constrained_pareto,30,21,0.3,0.6933543228744011,0.7782980928015737,0.8908595938846418,0.04878048780487805,0,1.0,0.03893068800585922,44
random,30,22,0.26666666666666666,0.6640414254464663,0.7782980928015737,0.8531967784427849,0.024390243902439025,0,1.0,0.05711007173036735,45
efficacy_only,30,23,0.23333333333333334,0.672401459406467,0.7782980928015737,0.8639382077708561,0.04878048780487805,1,1.0,0.05711007173036735,45
constrained_pareto,30,26,0.13333333333333333,0.7275044964284184,0.7782980928015737,0.9347376065251325,0.12195121951219512,2,1.0,0.050041799116970306,45
random,30,22,0.26666666666666666,0.6375120270983727,0.7782980928015737,0.8191103550100897,0.024390243902439025,0,0.9121219293161295,0.05711007173036735,46
efficacy_only,30,21,0.3,0.6627747067479339,0.7782980928015737,0.851569228908425,0.04878048780487805,0,1.0,0.05711007173036735,46
constrained_pareto,30,24,0.2,0.6980817662775017,0.7782980928015737,0.8969336719876518,0.04878048780487805,1,1.0,0.050041799116970306,46
random,30,23,0.23333333333333334,0.6730779658777017,0.7782980928015737,0.8648074203225656,0.0,0,1.0,0.04773602224307496,47
efficacy_only,30,23,0.23333333333333334,0.6353603841148028,0.7782980928015737,0.8163458063063599,0.07317073170731707,1,1.0,0.05711007173036735,47
constrained_pareto,30,24,0.2,0.712790224206096,0.7782980928015737,0.9158319039949403,0.0975609756097561,2,1.0,0.005597354672525881,47
random,30,19,0.36666666666666664,0.6760806515258897,0.7782980928015737,0.8686654352347948,0.024390243902439025,1,1.0,0.05711007173036735,48
efficacy_only,30,21,0.3,0.6619191969560141,0.7782980928015737,0.8504700230902014,0.024390243902439025,0,1.0,0.05711007173036735,48
constrained_pareto,30,25,0.16666666666666666,0.7131527306666398,0.7782980928015737,0.9162976721419993,0.07317073170731707,0,1.0,0.05711007173036735,48
random,30,24,0.2,0.6684868793255057,0.7782980928015737,0.8589085409668809,0.0,1,0.9711986191223351,0.05711007173036735,49
efficacy_only,30,19,0.36666666666666664,0.6416529631188087,0.7782980928015737,0.8244308563176673,0.0,0,1.0,0.05711007173036735,49
constrained_pareto,30,26,0.13333333333333333,0.7311457990929024,0.7782980928015737,0.939416151542989,0.12195121951219512,2,1.0,0.005597354672525881,49
